,pnu,ldCode,pblntfPclnd,lndpclAr,prposArea1,lndcgrCode,tpgrphHgCode,tpgrphFrmCode,roadSideCode,pclndIndex,pclndChgRt,juso,trafficAmount,distance
139,4111312800100050003,4111312800,557700,210,14,01,00,00,00,106.47,0.306,경기도 수원시 권선구 고색동 5-3,1481373,3.570317094206005
140,4111312900100030001,4111312900,205300,1181,42,01,02,03,07,106.47,0.306,경기도 수원시 권선구 오목천동 3-1,1481373,3.217627728125036
141,4111312900100030002,4111312900,235500,1574,42,01,02,03,07,106.47,0.306,경기도 수원시 권선구 오목천동 3-2,1481373,3.214928734170164
142,4111312900100030003,4111312900,418900,3661,42,01,02,03,03,106.47,0.306,경기도 수원시 권선구 오목천동 3-3,1481373,3.19132523850412
143,4111312900100040003,4111312900,154300,1319,42,02,00,00,00,106.47,0.306,경기도 수원시 권선구 오목천동 4-3,1481373,3.198224613428981
144,4111312900100040004,4111312900,141900,133,42,14,00,00,00,106.47,0.306,경기도 수원시 권선구 오목천동 4-4,1481373,3.227170107595787
145,4111312900100040005,4111312900,141900,1055,42,02,00,00,00,106.47,0.306,경기도 수원시 권선구 오목천동 4-5,1481373,3.202078146637657
146,4111312900100040007,4111312900,141900,431,42,02,00,00,00,106.47,0.306,경기도 수원시 권선구 오목천동 4-7,1481373,3.204425527451393
147,4111312900100040009,4111312900,141900,469,42,02,00,00,00,106.47,0.306,경기도 수원시 권선구 오목천동 4-9,1481373,3.203690025229759
148,4111312900100050001,4111312900,162600,84,42,18,00,00,00,106.47,0.306,경기도 수원시 권선구 오목천동 5-1,1481373,3.1742915772733
149,4111312900100050002,4111312900,141900,34,42,18,00,00,00,106.47,0.306,경기도 수원시 권선구 오목천동 5-2,1481373,3.176149945975114
150,4111313000101010001,4111313000,125400,86,43,15,00,00,00,106.47,0.306,경기도 수원시 권선구 평리동 101-1,1481373,4.367383313092372
151,4111313000101150000,4111313000,390600,966037,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115,1376131,3.997139186983114
152,4111313000101150001,4111313000,390600,10052,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115-1,1481373,3.528833806829566
153,4111313000101150002,4111313000,390600,2405,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115-2,1481373,3.575360804399169
154,4111313000101150003,4111313000,402400,15648,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115-3,1481373,3.603832421185639
155,4111313000101150004,4111313000,390600,43076,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115-4,1481373,3.509642555987262
156,4111313000101150005,4111313000,390600,912,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115-5,1481373,3.405258915229689
157,4111313000101150006,4111313000,390600,26073,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115-6,1481373,3.388429275055701
158,4111313000101150007,4111313000,390600,927,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115-7,1481373,3.387036227818944
159,4111313000101150008,4111313000,390600,28334,43,28,02,07,07,106.47,0.306,경기도 수원시 권선구 평리동 115-8,1481373,3.355685544126548
160,4111313100100010001,4111313100,135300,4446,42,18,02,03,08,107.803,0.799,경기도 수원시 권선구 서둔동 1-1,1553317,3.36202992243924
161,4111313100100010002,4111313100,906000,32969,42,08,02,04,09,107.803,0.799,경기도 수원시 권선구 서둔동 1-2,1553317,3.485338088924534
162,4111313100100010003,4111313100,340700,6245,42,02,02,03,09,107.803,0.799,경기도 수원시 권선구 서둔동 1-3,1553317,3.357396220111423
163,4111313100100010004,4111313100,337400,598,42,02,02,02,09,107.803,0.799,경기도 수원시 권선구 서둔동 1-4,1553317,3.335377624428861
164,4111313100100010005,4111313100,135300,1190,42,18,02,02,08,107.803,0.799,경기도 수원시 권선구 서둔동 1-5,1553317,3.363822103851268
165,4111313100100010006,4111313100,361600,8039,42,02,02,03,09,107.803,0.799,경기도 수원시 권선구 서둔동 1-6,1553317,3.413987994008992
166,4111313100100010007,4111313100,344400,12258,42,02,02,01,09,107.803,0.799,경기도 수원시 권선구 서둔동 1-7,1553317,3.398324183015502
167,4111313100100010008,4111313100,340700,12030,42,02,02,01,09,107.803,0.799,경기도 수원시 권선구 서둔동 1-8,1553317,3.38405888119568
168,4111313100100010009,4111313100,337400,4139,42,02,02,02,09,107.803,0.799,경기도 수원시 권선구 서둔동 1-9,1553317,3.37803363172767
169,4111313100100010010,4111313100,135300,3025,42,14,00,00,00,107.803,0.799,경기도 수원시 권선구 서둔동 1-10,1553317,3.425023736426974
